"respondent","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","attitude_Kopacz","hh_finances","future_finances","politics_interest","religious_participation","DATE","weight","married","ed_level","urban_rural","policies_improve_economic","know_FXborrower","province","past.turnout","employed","treat","income.quint","age","currentFXloan","pastFXloan","LeftRight","female","retired","in.labor.force","PiS2011","POPSL2011","vote.intent.rev","gi","ps","turnout.intent.ord","immigration.summary","antimigrant.summary"
"5860",9,4,4,1,3,3,3,2,2.5,5,5,4,2,2015-10-07,0.914893672836381,0,4,2,3,1,"Podkarpackie",1,2,"history",4,25,0,0,0,1,0,1,1,0,"PiS","big","some",2,NA,NA
"5861",10,2,2,2,2,3,2,2,4,3,2,3,2,2015-10-07,0.85796123133461,1,4,3,4,1,"Warminsko-mazurskie",1,2,"cntrl",5,50,0,0,3,1,0,1,1,0,"PiS","some","90/10",2,NA,NA
"5862",13,5,4,2,3,3,2,2,3,3,3,4,1,2015-10-07,0.724470487543359,1,4,3,3,1,"Podkarpackie",1,2,"Hungary",1,48,0,0,1,1,0,1,0,0,"PiS","some","50/50",2,NA,NA
"5863",15,1,1,2,2,3,3,2,3,5,3,4,3,2015-10-07,1.33357916718645,0,1,3,2,0,"Mazowieckie",NA,1,"info",5,81,0,0,2,1,1,0,NA,NA,"PiS","some","DK",2,NA,NA
"5864",17,4,3,2,NA,4,NA,3,4,3,3,3,5,2015-10-07,0.686466841123477,0,2,1,4,0,"Wielkopolskie",0,1,"Hungary",1,61,0,0,NA,1,1,0,0,0,"NoVote","some","50/50",0,NA,NA
"5865",18,4,3,1,3,4,2,2,2,3,3,3,2,2015-10-07,0.686466841123477,0,2,1,2,0,"Wielkopolskie",1,1,"info",NA,57,0,0,0,1,0,0,0,1,"PiS","some","90/10",2,NA,NA
"5866",19,2,2,NA,3,3,3,NA,3,4,3,3,1,2015-10-07,0.797062947189988,1,4,3,NA,1,"Mazowieckie",1,1,"cntrl",5,70,0,0,1,1,1,0,0,1,"DK","none","none",2,NA,NA
"5867",23,3,3,NA,3,3,4,3,2,3,5,2,4,2015-10-07,0.75369474164889,0,4,3,2,0,"Mazowieckie",1,2,"Hungary",5,56,0,1,-1,1,0,1,0,1,"PO/PSL","none","some",2,NA,NA
"5868",26,3,2,2,3,3,3,3,2.5,3,2,3,3,2015-10-07,0.776249819470557,1,4,2,3,1,"Lódzkie",1,2,"cntrl",3,44,0,0,0,1,0,1,0,1,"DK","some","90/10",1,NA,NA
"5869",28,4,3,2,5,4,5,5,2,1,1,3,4,2015-10-08,0.85523198564313,0,2,3,2,0,"Mazowieckie",1,1,"cntrl",NA,66,0,0,0,1,1,0,0,1,"PO/PSL","none","none",2,NA,NA
