"Jul.Day","YYYY/MM/DD","Wdy","CHF/EUR","CHF/PLN"
2456965,"2014/11/03","Mon",1.20565,0.28557
2456966,"2014/11/04","Tue",1.20480,0.28505
2456967,"2014/11/05","Wed",1.20397,0.28472
2456968,"2014/11/06","Thu",1.20426,0.28546
2456969,"2014/11/07","Fri",1.20298,0.28448
2456972,"2014/11/10","Mon",1.20261,0.28502
2456974,"2014/11/12","Wed",1.20221,0.28501
2456975,"2014/11/13","Thu",1.20202,0.28376
2456976,"2014/11/14","Fri",1.20136,0.28412
2456979,"2014/11/17","Mon",1.20157,0.28464
2456980,"2014/11/18","Tue",1.20117,0.28476
2456981,"2014/11/19","Wed",1.20135,0.28494
2456982,"2014/11/20","Thu",1.20190,0.28521
2456983,"2014/11/21","Fri",1.20174,0.28631
2456986,"2014/11/24","Mon",1.20250,0.28665
2456987,"2014/11/25","Tue",1.20301,0.28816
2456988,"2014/11/26","Wed",1.20212,0.28752
2456989,"2014/11/27","Thu",1.20199,0.28760
2456990,"2014/11/28","Fri",1.20134,0.28713
2456993,"2014/12/01","Mon",1.20302,0.28793
2456994,"2014/12/02","Tue",1.20438,0.28905
2456995,"2014/12/03","Wed",1.20325,0.29003
2456996,"2014/12/04","Thu",1.20262,0.28921
2456997,"2014/12/05","Fri",1.20222,0.28879
2457000,"2014/12/08","Mon",1.20184,0.28895
2457001,"2014/12/09","Tue",1.20190,0.28886
2457002,"2014/12/10","Wed",1.20277,0.28826
2457003,"2014/12/11","Thu",1.20118,0.28744
2457004,"2014/12/12","Fri",1.20092,0.28670
2457007,"2014/12/15","Mon",1.20101,0.28698
2457008,"2014/12/16","Tue",1.20086,0.28456
2457009,"2014/12/17","Wed",1.20083,0.28348
2457010,"2014/12/18","Thu",1.20394,0.28335
2457011,"2014/12/19","Fri",1.20264,0.28210
2457014,"2014/12/22","Mon",1.20320,0.28233
2457015,"2014/12/23","Tue",1.20251,0.27961
2457016,"2014/12/24","Wed",1.20244,0.27943
2457021,"2014/12/29","Mon",1.20316,0.27892
2457022,"2014/12/30","Tue",1.20293,0.27901
2457023,"2014/12/31","Wed",1.20230,0.28066
2457025,"2015/01/02","Fri",1.20193,0.27930
2457028,"2015/01/05","Mon",1.20140,0.27957
2457029,"2015/01/06","Tue",1.20090,0.27813
2457030,"2015/01/07","Wed",1.20106,0.27883
2457031,"2015/01/08","Thu",1.20103,0.28041
2457032,"2015/01/09","Fri",1.20106,0.28147
2457035,"2015/01/12","Mon",1.20097,0.28061
2457036,"2015/01/13","Tue",1.20089,0.28051
2457037,"2015/01/14","Wed",1.20102,0.28184
2457038,"2015/01/15","Thu",1.03773,0.24053
2457039,"2015/01/16","Fri",0.97783,0.22675
2457042,"2015/01/19","Mon",1.01786,0.23487
2457043,"2015/01/20","Tue",1.01166,0.23358
2457044,"2015/01/21","Wed",0.99597,0.23167
2457045,"2015/01/22","Thu",0.99074,0.23276
2457046,"2015/01/23","Fri",0.98813,0.23430
2457049,"2015/01/26","Mon",1.01485,0.24077
2457050,"2015/01/27","Tue",1.02829,0.24267
2457051,"2015/01/28","Wed",1.02736,0.24183
2457052,"2015/01/29","Thu",1.04350,0.24770
2457053,"2015/01/30","Fri",1.03991,0.24859
2457056,"2015/02/02","Mon",1.05024,0.25088
2457057,"2015/02/03","Tue",1.05858,0.25345
2457058,"2015/02/04","Wed",1.05492,0.25348
2457059,"2015/02/05","Thu",1.05764,0.25374
2457060,"2015/02/06","Fri",1.04600,0.25175
2457063,"2015/02/09","Mon",1.04783,0.25054
2457064,"2015/02/10","Tue",1.04829,0.24972
2457065,"2015/02/11","Wed",1.04941,0.24906
2457066,"2015/02/12","Thu",1.05915,0.25382
2457067,"2015/02/13","Fri",1.06215,0.25393
2457071,"2015/02/17","Tue",1.06511,0.25390
2457072,"2015/02/18","Wed",1.07129,0.25582
2457073,"2015/02/19","Thu",1.07937,0.25892
2457074,"2015/02/20","Fri",1.07135,0.25639
2457077,"2015/02/23","Mon",1.07738,0.25766
2457078,"2015/02/24","Tue",1.07597,0.25910
2457079,"2015/02/25","Wed",1.07940,0.25962
2457080,"2015/02/26","Thu",1.06967,0.25766
2457081,"2015/02/27","Fri",1.06526,0.25677
2457084,"2015/03/02","Mon",1.06898,0.25709
2457085,"2015/03/03","Tue",1.07533,0.25764
2457086,"2015/03/04","Wed",1.06728,0.25717
2457087,"2015/03/05","Thu",1.07153,0.25876
2457088,"2015/03/06","Fri",1.06885,0.25900
2457091,"2015/03/09","Mon",1.07085,0.26005
2457092,"2015/03/10","Tue",1.07043,0.25728
2457093,"2015/03/11","Wed",1.06527,0.25809
2457094,"2015/03/12","Thu",1.06515,0.25769
2457095,"2015/03/13","Fri",1.05745,0.25398
2457098,"2015/03/16","Mon",1.06527,0.25823
2457099,"2015/03/17","Tue",1.06496,0.25678
2457100,"2015/03/18","Wed",1.05923,0.25547
2457101,"2015/03/19","Thu",1.05380,0.25576
2457102,"2015/03/20","Fri",1.05381,0.25456
2457105,"2015/03/23","Mon",1.05663,0.25682
2457106,"2015/03/24","Tue",1.04560,0.25489
2457107,"2015/03/25","Wed",1.05196,0.25719
2457108,"2015/03/26","Thu",1.04965,0.25732
2457109,"2015/03/27","Fri",1.04428,0.25442
2457112,"2015/03/30","Mon",1.04723,0.25612
2457113,"2015/03/31","Tue",1.04343,0.25605
2457114,"2015/04/01","Wed",1.04133,0.25652
2457115,"2015/04/02","Thu",1.04179,0.25575
2457119,"2015/04/06","Mon",1.04858,0.25738
2457120,"2015/04/07","Tue",1.04609,0.25849
2457121,"2015/04/08","Wed",1.04245,0.25963
2457122,"2015/04/09","Thu",1.04070,0.25841
2457123,"2015/04/10","Fri",1.03924,0.25882
2457126,"2015/04/13","Mon",1.03485,0.25813
2457127,"2015/04/14","Tue",1.03682,0.25808
2457128,"2015/04/15","Wed",1.03024,0.25644
2457129,"2015/04/16","Thu",1.02961,0.25593
2457130,"2015/04/17","Fri",1.02695,0.25489
2457133,"2015/04/20","Mon",1.02729,0.25763
2457134,"2015/04/21","Tue",1.02500,0.25673
2457135,"2015/04/22","Wed",1.03701,0.25963
2457136,"2015/04/23","Thu",1.03185,0.25771
2457137,"2015/04/24","Fri",1.03667,0.25707
2457140,"2015/04/27","Mon",1.03844,0.26048
2457141,"2015/04/28","Tue",1.04730,0.26188
2457142,"2015/04/29","Wed",1.04564,0.26055
2457143,"2015/04/30","Thu",1.05056,0.26010
2457144,"2015/05/01","Fri",1.04574,0.25669
2457147,"2015/05/04","Mon",1.04288,0.25860
2457148,"2015/05/05","Tue",1.03524,0.25671
2457149,"2015/05/06","Wed",1.03833,0.25713
2457150,"2015/05/07","Thu",1.03781,0.25627
2457151,"2015/05/08","Fri",1.04267,0.25741
2457154,"2015/05/11","Mon",1.04123,0.25577
2457155,"2015/05/12","Tue",1.04168,0.25433
2457156,"2015/05/13","Wed",1.04202,0.25462
2457157,"2015/05/14","Thu",1.03982,0.25561
2457158,"2015/05/15","Fri",1.04899,0.25910
2457162,"2015/05/19","Tue",1.04466,0.25758
2457163,"2015/05/20","Wed",1.04093,0.25496
2457164,"2015/05/21","Thu",1.04007,0.25383
2457165,"2015/05/22","Fri",1.04037,0.25340
2457168,"2015/05/25","Mon",1.03623,0.25255
2457169,"2015/05/26","Tue",1.03380,0.24929
2457170,"2015/05/27","Wed",1.03511,0.25088
2457171,"2015/05/28","Thu",1.03253,0.24919
2457172,"2015/05/29","Fri",1.03418,0.25143
2457175,"2015/06/01","Mon",1.03327,0.25019
2457176,"2015/06/02","Tue",1.03994,0.25207
2457177,"2015/06/03","Wed",1.05361,0.25319
2457178,"2015/06/04","Thu",1.05302,0.25311
2457179,"2015/06/05","Fri",1.04820,0.25206
2457182,"2015/06/08","Mon",1.04834,0.25146
2457183,"2015/06/09","Tue",1.04884,0.25159
2457184,"2015/06/10","Wed",1.05084,0.25403
2457185,"2015/06/11","Thu",1.05224,0.25430
2457186,"2015/06/12","Fri",1.04456,0.25188
2457189,"2015/06/15","Mon",1.05358,0.25309
2457190,"2015/06/16","Tue",1.04803,0.25303
2457191,"2015/06/17","Wed",1.04191,0.25026
2457192,"2015/06/18","Thu",1.04882,0.25109
2457193,"2015/06/19","Fri",1.04364,0.24962
2457196,"2015/06/22","Mon",1.04569,0.25058
2457197,"2015/06/23","Tue",1.04485,0.25091
2457198,"2015/06/24","Wed",1.04645,0.25081
2457199,"2015/06/25","Thu",1.04967,0.25177
2457200,"2015/06/26","Fri",1.04321,0.24972
2457203,"2015/06/29","Mon",1.03786,0.24741
2457204,"2015/06/30","Tue",1.04257,0.24897
2457206,"2015/07/02","Thu",1.04672,0.24974
2457207,"2015/07/03","Fri",1.04456,0.24906
2457210,"2015/07/06","Mon",1.04476,0.24865
2457211,"2015/07/07","Tue",1.03840,0.24643
2457212,"2015/07/08","Wed",1.04729,0.24706
2457213,"2015/07/09","Thu",1.04677,0.24804
2457214,"2015/07/10","Fri",1.04945,0.25154
2457217,"2015/07/13","Mon",1.04604,0.25290
2457218,"2015/07/14","Tue",1.04254,0.25221
