"respondent","sex","birth_year","city_size","employment","workplace","profession","addtl_income","education","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","next_election","future_vote","attitude_Kopacz","hh_finances","future_finances","politics_interest","political_views","past_election","past_vote","religious_participation","marital_status","monthly_income","DATE","weight","married","ed_level","urban_rural","mean_income","future_vote_agg","past_vote_agg","policies_improve_economic","Satisfied_democracy","Attitude_Americans","Attitude_English","Attitude_Austrians","Attitude_French","Attitude_Greeks","Attitude_Spaniards","Attitude_Japanese","Attitude_Germans","Attitude_Russians","Attitude_Swiss","Relations_Germany","Relations_Russia","Residence","Length_residence","LD","survey_month","after_shock","Nov_Dec_issue","new_Nov","new_Jan","treatment","gov_intervene","proposal_support","FXloan","repayFXloan","loan_type1","loan_type2","loan_type3","loan_type4","loan_EUR","loan_CHF","loan_USD","loan_currency1","loan_currency2","loan_currency3","loan_currency4","know_FXborrower","parliament_election","parliament_vote","province","monthly_incPC","parliament_vote_agg","chfd_r","chfd_e","new_Oct15","month","monthyear","monthyear2","past.vote","vote.intent","turnout.intent","know_FXborrower_original","incumbent.intent","past.turnout","past.incumbent","incumbent.defector","employed","treat","immigration.outofcontrol","immigration.crime","immigration.takejobs","immigration.uneasy","immigration.disease","immigration.loyalty","immigration.worse","immigration.loyalty2","immigration.culture"
"5860",9,2,1990,4,1,3,5,1,11,4,4,1,3,3,3,2,NA,NA,2.5,5,5,4,4,1,1,2,1,41,2015-10-07,0.914893672836381,0,4,2,2250,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Big intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","PiS","Podkarpackie","From PLN 1,400 to 1,999",1,0,1,1,"Oct",Oct 2015,2015-10-01,"PiS","PiS","Yes","Yes","No","Yes","No","No","TRUE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5861",10,2,1965,5,1,1,2,3,11,2,2,2,2,3,2,2,NA,NA,4,3,2,3,7,1,1,2,2,41,2015-10-07,0.85796123133461,1,4,3,2250,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","PiS","Warminsko-mazurskie","2,000 PLN and more",1,0,1,1,"Oct",Oct 2015,2015-10-01,"PiS","PiS","Yes","Yes","No","Yes","No","No","TRUE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5862",13,2,1967,5,1,1,5,2,11,5,4,2,3,3,2,2,NA,NA,3,3,3,4,5,1,11,1,2,31,2015-10-07,0.724470487543359,1,4,3,1650,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","PiS","Podkarpackie","Up to PLN 649",1,0,1,1,"Oct",Oct 2015,2015-10-01,"other","PiS","Yes","Yes","No","Yes","No","No","TRUE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5863",15,2,1934,6,4,NA,13,3,2,1,1,2,2,3,3,2,NA,NA,3,5,3,4,6,7,NA,3,4,41,2015-10-07,1.33357916718645,0,1,3,2250,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Mazowieckie","2,000 PLN and more",1,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","No","No",NA,"No","No","FALSE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5864",17,2,1954,1,4,NA,13,3,4,4,3,2,7,4,7,3,NA,NA,4,3,3,3,97,2,NA,5,4,11,2015-10-07,0.686466841123477,0,2,1,500,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly not take part in it",NA,"Wielkopolskie","Up to PLN 649",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,"No","No","No","No","No","No","FALSE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5865",18,2,1958,1,4,NA,16,3,4,4,3,1,3,4,2,2,NA,NA,2,3,3,3,4,1,7,2,4,11,2015-10-07,0.686466841123477,0,2,1,500,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Wielkopolskie","Don’t know",1,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","PiS","Yes","No","No","Yes","Yes","Yes","FALSE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5866",19,2,1945,6,4,NA,13,3,11,2,2,7,3,3,3,7,NA,NA,3,4,3,3,5,1,7,1,2,41,2015-10-07,0.797062947189988,1,4,3,2250,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","Don’t know/not sure","Mazowieckie","2,000 PLN and more",3,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","other","Yes","Yes","No","Yes","Yes","Yes","FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5867",23,2,1959,6,1,3,2,2,11,3,3,7,3,3,4,3,NA,NA,2,3,5,2,3,1,7,4,3,51,2015-10-07,0.75369474164889,0,4,3,2600,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Do not intervene","The government should something but I do not support either Proposal A or Proposal B","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Mazowieckie","2,000 PLN and more",2,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","Yes","Yes","Yes","Yes","No","TRUE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5868",26,2,1971,3,1,1,4,3,11,3,2,2,3,3,3,3,NA,NA,2.5,3,2,3,4,1,7,3,2,31,2015-10-07,0.776249819470557,1,4,2,1650,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I don’t know yet whether I will participate or not",NA,"Lódzkie","From PLN 1,000 to 1,399",NA,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP",NA,NA,"Yes",NA,"Yes","Yes",NA,"TRUE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5869",28,2,1949,6,4,NA,13,3,8,4,3,2,5,4,5,5,NA,NA,2,1,1,3,4,1,7,4,3,31,2015-10-08,0.85523198564313,0,2,3,1650,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Mazowieckie",NA,2,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","No","Yes","Yes","Yes","No","FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
